cmo,school,quart,grade,subject,boy,moy,eoy
DC Prep,DC Prep-Benning Elementary Campus,Top Quartile,2,reading,0.26,0.22,
DC Prep,DC Prep-Benning Elementary Campus,3rd Quartile,2,reading,0.3,0.32,
DC Prep,DC Prep-Benning Elementary Campus,2nd Quartile,2,reading,0.3,0.22,
DC Prep,DC Prep-Benning Elementary Campus,Bottom Quartile,2,reading,0.14,0.25,
Rocketship,Rocketship Mateo Sheedy,Top Quartile,2,reading,0.273684211,0.207920792,
Rocketship,Rocketship Mateo Sheedy,3rd Quartile,2,reading,0.231578947,0.257425743,
Rocketship,Rocketship Mateo Sheedy,2nd Quartile,2,reading,0.252631579,0.297029703,
Rocketship,Rocketship Mateo Sheedy,Bottom Quartile,2,reading,0.242105263,0.237623762,
Rocketship,Rocketship Si Se Puede,Top Quartile,2,reading,0.235772358,0.217741935,
Rocketship,Rocketship Si Se Puede,3rd Quartile,2,reading,0.211382114,0.241935484,
Rocketship,Rocketship Si Se Puede,2nd Quartile,2,reading,0.219512195,0.25,
Rocketship,Rocketship Si Se Puede,Bottom Quartile,2,reading,0.333333333,0.290322581,
Rocketship,Rocketship Los Suenos,Top Quartile,2,reading,0.172413793,0.129310345,
Rocketship,Rocketship Los Suenos,3rd Quartile,2,reading,0.206896552,0.232758621,
Rocketship,Rocketship Los Suenos,2nd Quartile,2,reading,0.189655172,0.215517241,
Rocketship,Rocketship Los Suenos,Bottom Quartile,2,reading,0.431034483,0.422413793,
Rocketship,Rocketship Mosaic,Top Quartile,2,reading,0.307142857,0.23943662,
Rocketship,Rocketship Mosaic,3rd Quartile,2,reading,0.207142857,0.211267606,
Rocketship,Rocketship Mosaic,2nd Quartile,2,reading,0.157142857,0.176056338,
Rocketship,Rocketship Mosaic,Bottom Quartile,2,reading,0.328571429,0.373239437,
Rocketship,Rocketship Discovery Prep,Top Quartile,2,reading,0.150684932,0.139072848,
Rocketship,Rocketship Discovery Prep,3rd Quartile,2,reading,0.184931507,0.165562914,
Rocketship,Rocketship Discovery Prep,2nd Quartile,2,reading,0.178082192,0.158940397,
Rocketship,Rocketship Discovery Prep,Bottom Quartile,2,reading,0.48630137,0.536423841,
Rocketship,Rocketship Brilliant Minds,Top Quartile,2,reading,0.184615385,0.257575758,
Rocketship,Rocketship Brilliant Minds,3rd Quartile,2,reading,0.307692308,0.303030303,
Rocketship,Rocketship Brilliant Minds,2nd Quartile,2,reading,0.2,0.196969697,
Rocketship,Rocketship Brilliant Minds,Bottom Quartile,2,reading,0.307692308,0.242424242,
Rocketship,Rocketship Alma Academy,Top Quartile,2,reading,0.171171171,0.198198198,
Rocketship,Rocketship Alma Academy,3rd Quartile,2,reading,0.315315315,0.216216216,
Rocketship,Rocketship Alma Academy,2nd Quartile,2,reading,0.189189189,0.252252252,
Rocketship,Rocketship Alma Academy,Bottom Quartile,2,reading,0.324324324,0.333333333,
Rocketship,Rocketship Spark Academy,Top Quartile,2,reading,0.254545455,0.316239316,
Rocketship,Rocketship Spark Academy,3rd Quartile,2,reading,0.2,0.222222222,
Rocketship,Rocketship Spark Academy,2nd Quartile,2,reading,0.163636364,0.230769231,
Rocketship,Rocketship Spark Academy,Bottom Quartile,2,reading,0.381818182,0.230769231,
Rocketship,Rocketship Southside Community Prep,Top Quartile,2,reading,0.12,0.189189189,
Rocketship,Rocketship Southside Community Prep,3rd Quartile,2,reading,0.12,0.216216216,
Rocketship,Rocketship Southside Community Prep,2nd Quartile,2,reading,0.32,0.135135135,
Rocketship,Rocketship Southside Community Prep,Bottom Quartile,2,reading,0.44,0.459459459,
ReNEW,ReNEW Cultural Arts Academy,Top Quartile,0,math,0.02,0.021276596,
ReNEW,ReNEW Cultural Arts Academy,3rd Quartile,0,math,0.09,0.212765957,
ReNEW,ReNEW Cultural Arts Academy,2nd Quartile,0,math,0.19,0.170212766,
ReNEW,ReNEW Cultural Arts Academy,Bottom Quartile,0,math,0.7,0.595744681,
ReNEW,SciTech Academy,Top Quartile,0,math,0.02,0.095238095,
ReNEW,SciTech Academy,3rd Quartile,0,math,0.08,0.126984127,
ReNEW,SciTech Academy,2nd Quartile,0,math,0.3,0.26984127,
ReNEW,SciTech Academy,Bottom Quartile,0,math,0.6,0.507936508,
ReNEW,Dolores T Aaron Elementary,Top Quartile,0,math,0.11,0.358695652,
ReNEW,Dolores T Aaron Elementary,3rd Quartile,0,math,0.11,0.25,
ReNEW,Dolores T Aaron Elementary,2nd Quartile,0,math,0.18,0.217391304,
